REGION,TECHNOLOGY,VALUE
REGION1,ATBF00I00,1
REGION1,ATBF00X00,1
REGION1,ATBFHPFH1,31.536
REGION1,ATBM00I00,1
REGION1,ATBM00X00,1
REGION1,ATBMCCPH1,31.536
REGION1,ATBMCHPH3,31.536
REGION1,ATBMCSPN2,31.536
REGION1,ATBMSTPH3,31.536
REGION1,ATCO00I00,1
REGION1,ATCOCHPH3,31.536
REGION1,ATCOCSPN2,31.536
REGION1,ATCOSTPH1,31.536
REGION1,ATCOSTPH3,31.536
REGION1,ATEL00TD0,1
REGION1,ATELCHPH1,31.536
REGION1,ATELCZPH1,31.536
REGION1,ATELDEPH1,31.536
REGION1,ATELHUPH1,31.536
REGION1,ATELITPH1,31.536
REGION1,ATELSIPH1,31.536
REGION1,ATGO00X00,1
REGION1,ATGOCVPH2,31.536
REGION1,ATHF00I00,1
REGION1,ATHFCCPH2,31.536
REGION1,ATHFCHPH3,31.536
REGION1,ATHFGCPH3,31.536
REGION1,ATHFGCPN3,31.536
REGION1,ATHFHPFH1,31.536
REGION1,ATHFHPPH2,31.536
REGION1,ATHFSTPH2,31.536
REGION1,ATHFSTPH3,31.536
REGION1,ATHYDMPH0,31.536
REGION1,ATHYDMPH1,31.536
REGION1,ATHYDMPH2,31.536
REGION1,ATHYDMPH3,31.536
REGION1,ATHYDSPH2,31.536
REGION1,ATHYDSPH3,31.536
REGION1,ATNG00I00,1
REGION1,ATNG00X00,1
REGION1,ATNGCCPH2,31.536
REGION1,ATNGCHPH3,31.536
REGION1,ATNGCHPN3,31.536
REGION1,ATNGCSPN2,31.536
REGION1,ATNGFCFH1,31.536
REGION1,ATNGGCPH2,31.536
REGION1,ATNGGCPN2,31.536
REGION1,ATNGHPFH1,31.536
REGION1,ATNGHPPH2,31.536
REGION1,ATNGSTPH2,31.536
REGION1,ATOI00I00,1
REGION1,ATOI00X00,1
REGION1,ATOIRFPH0,1
REGION1,ATSODIFH1,31.536
REGION1,ATSOUTPH2,31.536
REGION1,ATWIONPH3,31.536
REGION1,ATWIONPN3,31.536
REGION1,ATWS00X00,1
REGION1,ATWSCHPH2,31.536
REGION1,ATWSSTPH1,31.536
REGION1,BEBF00I00,1
REGION1,BEBF00X00,1
REGION1,BEBFHPFH1,31.536
REGION1,BEBM00I00,1
REGION1,BEBM00X00,1
REGION1,BEBMCCPH1,31.536
REGION1,BEBMCHPH3,31.536
REGION1,BEBMCSPN2,31.536
REGION1,BEBMSTPH3,31.536
REGION1,BECO00I00,1
REGION1,BECOCHPH3,31.536
REGION1,BECOCSPN2,31.536
REGION1,BECOSTPH1,31.536
REGION1,BECOSTPH3,31.536
REGION1,BEEL00TD0,1
REGION1,BEELDEPH1,1
REGION1,BEELFRPH1,31.536
REGION1,BEELLUPH1,31.536
REGION1,BEELNLPH1,31.536
REGION1,BEELUKPH1,1
REGION1,BEGO00X00,1
REGION1,BEGOCVPH2,31.536
REGION1,BEHF00I00,1
REGION1,BEHFCCPH2,31.536
REGION1,BEHFCHPH3,31.536
REGION1,BEHFGCPH3,31.536
REGION1,BEHFGCPN3,31.536
REGION1,BEHFHPFH1,31.536
REGION1,BEHFHPPH2,31.536
REGION1,BEHFSTPH2,31.536
REGION1,BEHFSTPH3,31.536
REGION1,BEHYDMPH0,31.536
REGION1,BEHYDMPH1,31.536
REGION1,BEHYDMPH2,31.536
REGION1,BEHYDMPH3,31.536
REGION1,BEHYDSPH2,31.536
REGION1,BEHYDSPH3,31.536
REGION1,BENG00I00,1
REGION1,BENGCCPH2,31.536
REGION1,BENGCHPH3,31.536
REGION1,BENGCHPN3,31.536
REGION1,BENGCSPN2,31.536
REGION1,BENGFCFH1,31.536
REGION1,BENGGCPH2,31.536
REGION1,BENGGCPN2,31.536
REGION1,BENGHPFH1,31.536
REGION1,BENGHPPH2,31.536
REGION1,BENGSTPH2,31.536
REGION1,BENUG2PH3,31.536
REGION1,BENUG3PH3,31.536
REGION1,BEOCWVPH1,31.536
REGION1,BESODIFH1,31.536
REGION1,BESOUTPH2,31.536
REGION1,BEUR00I00,1
REGION1,BEWIOFPH3,31.536
REGION1,BEWIOFPN2,31.536
REGION1,BEWIOFPN3,31.536
REGION1,BEWIONPH3,31.536
REGION1,BEWIONPN3,31.536
REGION1,BEWS00X00,1
REGION1,BEWSCHPH2,31.536
REGION1,BEWSSTPH1,31.536
REGION1,BGBF00I00,1
REGION1,BGBF00X00,1
REGION1,BGBFHPFH1,31.536
REGION1,BGBM00I00,1
REGION1,BGBM00X00,1
REGION1,BGBMCCPH1,31.536
REGION1,BGBMCHPH3,31.536
REGION1,BGBMCSPN2,31.536
REGION1,BGBMSTPH3,31.536
REGION1,BGCO00I00,1
REGION1,BGCO00X00,1
REGION1,BGCOCHPH3,31.536
REGION1,BGCOCSPN2,31.536
REGION1,BGCOSTPH1,31.536
REGION1,BGCOSTPH3,31.536
REGION1,BGEL00TD0,1
REGION1,BGELGRPH1,31.536
REGION1,BGELROPH1,31.536
REGION1,BGGO00X00,1
REGION1,BGGOCVPH2,31.536
REGION1,BGHF00I00,1
REGION1,BGHFCCPH2,31.536
REGION1,BGHFCHPH3,31.536
REGION1,BGHFGCPH3,31.536
REGION1,BGHFGCPN3,31.536
REGION1,BGHFHPFH1,31.536
REGION1,BGHFHPPH2,31.536
REGION1,BGHFSTPH2,31.536
REGION1,BGHFSTPH3,31.536
REGION1,BGHYDMPH0,31.536
REGION1,BGHYDMPH1,31.536
REGION1,BGHYDMPH2,31.536
REGION1,BGHYDMPH3,31.536
REGION1,BGHYDSPH2,31.536
REGION1,BGHYDSPH3,31.536
REGION1,BGNG00I00,1
REGION1,BGNG00X00,1
REGION1,BGNGCCPH2,31.536
REGION1,BGNGCHPH3,31.536
REGION1,BGNGCHPN3,31.536
REGION1,BGNGCSPN2,31.536
REGION1,BGNGFCFH1,31.536
REGION1,BGNGGCPH2,31.536
REGION1,BGNGGCPN2,31.536
