REGION,TECHNOLOGY,YEAR,VALUE
REGION1,ATBFHPFH1,2015,0.02941
REGION1,ATBFHPFH1,2016,0.02941
REGION1,ATBFHPFH1,2017,0.02941
REGION1,ATBFHPFH1,2018,0.02941
REGION1,ATBFHPFH1,2019,0.02941
REGION1,ATBFHPFH1,2020,0.02941
REGION1,ATBFHPFH1,2021,0.02941
REGION1,ATBFHPFH1,2022,0.02941
REGION1,ATBFHPFH1,2023,0.027933
REGION1,ATBFHPFH1,2024,0.011601
REGION1,ATBFHPFH1,2025,0.008426
REGION1,ATBFHPFH1,2026,0.00758
REGION1,ATBFHPFH1,2027,0.00458
REGION1,ATBFHPFH1,2028,0.00425
REGION1,ATBFHPFH1,2029,0.00425
REGION1,ATBFHPFH1,2030,0
REGION1,ATBFHPFH1,2031,0
REGION1,ATBFHPFH1,2032,0
REGION1,ATBFHPFH1,2033,0
REGION1,ATBFHPFH1,2034,0
REGION1,ATBFHPFH1,2035,0
REGION1,ATBFHPFH1,2036,0
REGION1,ATBFHPFH1,2037,0
REGION1,ATBFHPFH1,2038,0
REGION1,ATBFHPFH1,2039,0
REGION1,ATBFHPFH1,2040,0
REGION1,ATBFHPFH1,2041,0
REGION1,ATBFHPFH1,2042,0
REGION1,ATBFHPFH1,2043,0
REGION1,ATBFHPFH1,2044,0
REGION1,ATBFHPFH1,2045,0
REGION1,ATBFHPFH1,2046,0
REGION1,ATBFHPFH1,2047,0
REGION1,ATBFHPFH1,2048,0
REGION1,ATBFHPFH1,2049,0
REGION1,ATBFHPFH1,2050,0
REGION1,ATBFHPFH1,2051,0
REGION1,ATBFHPFH1,2052,0
REGION1,ATBFHPFH1,2053,0
REGION1,ATBFHPFH1,2054,0
REGION1,ATBFHPFH1,2055,0
REGION1,ATBFHPFH1,2056,0
REGION1,ATBFHPFH1,2057,0
REGION1,ATBFHPFH1,2058,0
REGION1,ATBFHPFH1,2059,0
REGION1,ATBFHPFH1,2060,0
REGION1,ATBMSTPH3,2015,0.417366
REGION1,ATBMSTPH3,2016,0.417366
REGION1,ATBMSTPH3,2017,0.417366
REGION1,ATBMSTPH3,2018,0.417366
REGION1,ATBMSTPH3,2019,0.417366
REGION1,ATBMSTPH3,2020,0.417366
REGION1,ATBMSTPH3,2021,0.292392
REGION1,ATBMSTPH3,2022,0.232918
REGION1,ATBMSTPH3,2023,0.232918
REGION1,ATBMSTPH3,2024,0.232918
REGION1,ATBMSTPH3,2025,0.232918
REGION1,ATBMSTPH3,2026,0.232918
REGION1,ATBMSTPH3,2027,0.232918
REGION1,ATBMSTPH3,2028,0.232918
REGION1,ATBMSTPH3,2029,0.231739
REGION1,ATBMSTPH3,2030,0.079386
REGION1,ATBMSTPH3,2031,0.079386
REGION1,ATBMSTPH3,2032,0.076766
REGION1,ATBMSTPH3,2033,0.076766
REGION1,ATBMSTPH3,2034,0.067072
REGION1,ATBMSTPH3,2035,0.063142
REGION1,ATBMSTPH3,2036,0.005502
REGION1,ATBMSTPH3,2037,0.003406
REGION1,ATBMSTPH3,2038,0.003406
REGION1,ATBMSTPH3,2039,0
REGION1,ATBMSTPH3,2040,0
REGION1,ATBMSTPH3,2041,0
REGION1,ATBMSTPH3,2042,0
REGION1,ATBMSTPH3,2043,0
REGION1,ATBMSTPH3,2044,0
REGION1,ATBMSTPH3,2045,0
REGION1,ATBMSTPH3,2046,0
REGION1,ATBMSTPH3,2047,0
REGION1,ATBMSTPH3,2048,0
REGION1,ATBMSTPH3,2049,0
REGION1,ATBMSTPH3,2050,0
REGION1,ATBMSTPH3,2051,0
REGION1,ATBMSTPH3,2052,0
REGION1,ATBMSTPH3,2053,0
REGION1,ATBMSTPH3,2054,0
REGION1,ATBMSTPH3,2055,0
REGION1,ATBMSTPH3,2056,0
REGION1,ATBMSTPH3,2057,0
REGION1,ATBMSTPH3,2058,0
REGION1,ATBMSTPH3,2059,0
REGION1,ATBMSTPH3,2060,0
REGION1,ATCOCHPH3,2015,0.8924
REGION1,ATCOCHPH3,2016,0.8924
REGION1,ATCOCHPH3,2017,0.8924
REGION1,ATCOCHPH3,2018,0.8924
REGION1,ATCOCHPH3,2019,0.8924
REGION1,ATCOCHPH3,2020,0.8808
REGION1,ATCOCHPH3,2021,0.8258
REGION1,ATCOCHPH3,2022,0.8048
REGION1,ATCOCHPH3,2023,0.0468
REGION1,ATCOCHPH3,2024,0
REGION1,ATCOCHPH3,2025,0
REGION1,ATCOCHPH3,2026,0
REGION1,ATCOCHPH3,2027,0
REGION1,ATCOCHPH3,2028,0
REGION1,ATCOCHPH3,2029,0
REGION1,ATCOCHPH3,2030,0
REGION1,ATCOCHPH3,2031,0
REGION1,ATCOCHPH3,2032,0
REGION1,ATCOCHPH3,2033,0
REGION1,ATCOCHPH3,2034,0
REGION1,ATCOCHPH3,2035,0
REGION1,ATCOCHPH3,2036,0
REGION1,ATCOCHPH3,2037,0
REGION1,ATCOCHPH3,2038,0
REGION1,ATCOCHPH3,2039,0
REGION1,ATCOCHPH3,2040,0
REGION1,ATCOCHPH3,2041,0
REGION1,ATCOCHPH3,2042,0
REGION1,ATCOCHPH3,2043,0
REGION1,ATCOCHPH3,2044,0
REGION1,ATCOCHPH3,2045,0
REGION1,ATCOCHPH3,2046,0
REGION1,ATCOCHPH3,2047,0
REGION1,ATCOCHPH3,2048,0
REGION1,ATCOCHPH3,2049,0
REGION1,ATCOCHPH3,2050,0
REGION1,ATCOCHPH3,2051,0
REGION1,ATCOCHPH3,2052,0
REGION1,ATCOCHPH3,2053,0
REGION1,ATCOCHPH3,2054,0
REGION1,ATCOCHPH3,2055,0
REGION1,ATCOCHPH3,2056,0
REGION1,ATCOCHPH3,2057,0
REGION1,ATCOCHPH3,2058,0
REGION1,ATCOCHPH3,2059,0
REGION1,ATCOCHPH3,2060,0
REGION1,ATCOSTPH3,2015,0.6992
REGION1,ATCOSTPH3,2016,0.6992
REGION1,ATCOSTPH3,2017,0.6992
REGION1,ATCOSTPH3,2018,0.6992
REGION1,ATCOSTPH3,2019,0.6992
