REGION,TECHNOLOGY,YEAR,VALUE
REGION1,BENG00I00,2015,141.0
REGION1,BENG00I00,2016,141.0
REGION1,BENG00I00,2017,141.0
REGION1,BENG00I00,2018,141.0
REGION1,BENG00I00,2019,141.0
REGION1,BENG00I00,2020,141.0
REGION1,BENG00I00,2021,0.0
REGION1,BENG00I00,2022,0.0
REGION1,BENG00I00,2023,0.0
REGION1,BENG00I00,2024,0.0
REGION1,BENG00I00,2025,0.0
REGION1,BENG00I00,2026,0.0
REGION1,BENG00I00,2027,0.0
REGION1,BENG00I00,2028,0.0
REGION1,BENG00I00,2029,0.0
REGION1,BENG00I00,2030,0.0
REGION1,BENG00I00,2031,0.0
REGION1,BENG00I00,2032,0.0
REGION1,BENG00I00,2033,0.0
REGION1,BENG00I00,2034,0.0
REGION1,BENG00I00,2035,0.0
REGION1,BENG00I00,2036,0.0
REGION1,BENG00I00,2037,0.0
REGION1,BENG00I00,2038,0.0
REGION1,BENG00I00,2039,0.0
REGION1,BENG00I00,2040,0.0
REGION1,BENG00I00,2041,0.0
REGION1,BENG00I00,2042,0.0
REGION1,BENG00I00,2043,0.0
REGION1,BENG00I00,2044,0.0
REGION1,BENG00I00,2045,0.0
REGION1,BENG00I00,2046,0.0
REGION1,BENG00I00,2047,0.0
REGION1,BENG00I00,2048,0.0
REGION1,BENG00I00,2049,0.0
REGION1,BENG00I00,2050,0.0
REGION1,BENG00I00,2051,0.0
REGION1,BENG00I00,2052,0.0
REGION1,BENG00I00,2053,0.0
REGION1,BENG00I00,2054,0.0
REGION1,BENG00I00,2055,0.0
REGION1,BENG00I00,2056,0.0
REGION1,BENG00I00,2057,0.0
REGION1,BENG00I00,2058,0.0
REGION1,BENG00I00,2059,0.0
REGION1,BENG00I00,2060,0.0
REGION1,DENG00X00,2015,391.0
REGION1,DENG00X00,2016,391.0
REGION1,DENG00X00,2017,391.0
REGION1,DENG00X00,2018,391.0
REGION1,DENG00X00,2019,391.0
REGION1,DENG00X00,2020,391.0
REGION1,DENG00X00,2021,0.0
REGION1,DENG00X00,2022,0.0
REGION1,DENG00X00,2023,0.0
REGION1,DENG00X00,2024,0.0
REGION1,DENG00X00,2025,0.0
REGION1,DENG00X00,2026,0.0
REGION1,DENG00X00,2027,0.0
REGION1,DENG00X00,2028,0.0
REGION1,DENG00X00,2029,0.0
REGION1,DENG00X00,2030,0.0
REGION1,DENG00X00,2031,0.0
REGION1,DENG00X00,2032,0.0
